"","species","data","variable","binmatch","1","2","5","10","20"
"143","yellow-long","Poor:A+L","CV_young","Match",NA,32.9,17.8,2.4,144
"144","yellow-long","Poor:A+L","CV_young","No Match",28.5,28,23,47.2,50.8
"145","yellow-long","Poor:A+L","depletion","Match",NA,-2.5,-1.9,-0.6,-9.1
"146","yellow-long","Poor:A+L","depletion","No Match",1.3,1,-1.1,-0.2,1.3
"147","yellow-long","Poor:A+L","L_at_Amax","Match",NA,-2.3,-0.4,-2.7,-6.2
"148","yellow-long","Poor:A+L","L_at_Amax","No Match",-2.8,-1.9,0.3,-2.7,-10.6
"149","yellow-long","Poor:A+L","L_at_Amin","Match",NA,-7.8,-11,-28.1,-50.2
"150","yellow-long","Poor:A+L","L_at_Amin","No Match",-7.1,-7.4,-8.3,-11.5,-20.6
"151","yellow-long","Poor:A+L","SSB_MSY","Match",NA,-7.1,-4.8,-3.4,-24
"152","yellow-long","Poor:A+L","SSB_MSY","No Match",-7.6,-6.1,-2.4,-6.2,-12
"153","yellow-long","Poor:A+L","VonBert_K","Match",NA,8.1,5.2,19.5,2.1
"154","yellow-long","Poor:A+L","VonBert_K","No Match",9.5,7.1,3,8.3,31.9
"155","yellow-long","Poor:C+L","CV_old","Match",NA,-0.6,-5,-36.1,-74.2
"156","yellow-long","Poor:C+L","CV_old","No Match",-0.9,-0.5,-0.1,-0.2,-16.8
"157","yellow-long","Poor:C+L","CV_young","Match",NA,-10.8,-41.7,-32.5,99.9
"158","yellow-long","Poor:C+L","CV_young","No Match",-2.8,-4.5,-12.1,-19.3,-4
"159","yellow-long","Poor:C+L","depletion","Match",NA,-4.7,-8.3,-24.7,-57
"160","yellow-long","Poor:C+L","depletion","No Match",-0.9,-1.2,0.2,2.2,6.3
"161","yellow-long","Poor:C+L","L_at_Amax","Match",NA,0.1,1.5,6.8,24.5
"162","yellow-long","Poor:C+L","L_at_Amax","No Match",-0.2,-0.2,0,0.5,-0.2
"163","yellow-long","Poor:C+L","L_at_Amin","Match",NA,5.7,18.9,7.6,-36.7
"164","yellow-long","Poor:C+L","L_at_Amin","No Match",1,1.7,5.7,11,7
"165","yellow-long","Poor:C+L","SSB_MSY","Match",NA,-0.6,3.5,6.4,-0.7
"166","yellow-long","Poor:C+L","SSB_MSY","No Match",-0.2,0.4,1.1,3,6.7
"167","yellow-long","Poor:C+L","VonBert_K","Match",NA,0.9,1.2,4.6,-24.4
"168","yellow-long","Poor:C+L","VonBert_K","No Match",0.9,0.3,-0.7,-3.1,2.3
