"","species","data","variable","binmatch","1","2","5","10","20"
"150","yellow-long","Poor:A+L","L_at_Amin","No Match",NA,17,15.8,28.3,52.4
"151","yellow-long","Poor:A+L","SSB_MSY","Match",20.1,20.2,21,22.3,19.8
"152","yellow-long","Poor:A+L","SSB_MSY","No Match",NA,20,20.4,19.2,18.9
"153","yellow-long","Poor:A+L","VonBert_K","Match",22.7,22.9,20.4,23.9,38.8
"154","yellow-long","Poor:A+L","VonBert_K","No Match",NA,22.5,22.5,26.4,32.3
"155","yellow-long","Poor:C+L","CV_old","Match",11.1,11.4,12.6,14.8,25.3
"156","yellow-long","Poor:C+L","CV_old","No Match",NA,11.5,12.2,36,74.6
"157","yellow-long","Poor:C+L","CV_young","Match",15.1,15,17.9,24.5,29
"158","yellow-long","Poor:C+L","CV_young","No Match",NA,17.2,41.9,33.9,104.4
"159","yellow-long","Poor:C+L","depletion","Match",20.4,20.6,20.7,21.5,21.3
"160","yellow-long","Poor:C+L","depletion","No Match",NA,21.1,24.1,32.4,60.1
"161","yellow-long","Poor:C+L","L_at_Amax","Match",3.5,3.5,3.5,4,5.9
"162","yellow-long","Poor:C+L","L_at_Amax","No Match",NA,3.6,3.5,6.8,24.1
"163","yellow-long","Poor:C+L","L_at_Amin","Match",6.6,7.7,9.7,12.9,14.3
"164","yellow-long","Poor:C+L","L_at_Amin","No Match",NA,8.9,19.4,11.6,34.7
"165","yellow-long","Poor:C+L","SSB_MSY","Match",18.9,19.1,20.3,22,27
"166","yellow-long","Poor:C+L","SSB_MSY","No Match",NA,18.9,22.6,24.5,17.2
"167","yellow-long","Poor:C+L","VonBert_K","Match",10.3,10.5,10.4,12.2,18.1
"168","yellow-long","Poor:C+L","VonBert_K","No Match",NA,10.7,11,13,25.2
